City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,mogocha,53.7333,119.7667,1.1099999999999568,95,31,1.39,RU,1684949698
133,west island,-12.1568,96.8225,27.96999999999997,78,75,4.12,CC,1684949698
134,cabo san lucas,22.8909,-109.9124,34.14999999999998,21,40,0.0,MX,1684949467
135,choibalsan,48.0667,114.5,13.939999999999998,49,100,2.35,MN,1684949699
136,akoupe,6.39,-3.9003,27.80000000000001,78,100,2.43,CI,1684949699
137,paracuru,-3.41,-39.0306,28.930000000000007,69,79,5.64,BR,1684949699
138,ambodifotatra,-16.9833,49.85,25.589999999999975,74,44,5.69,MG,1684949699
139,itamaraca,-7.7478,-34.8256,27.00999999999999,68,39,4.11,BR,1684949699
140,anna regina,7.2644,-58.5077,30.639999999999986,61,23,3.14,GY,1684949699
141,preobrazheniye,42.9019,133.9064,10.560000000000002,77,41,3.55,RU,1684949699
142,rengasdengklok,-6.1592,107.2981,25.329999999999984,85,87,2.02,ID,1684949700
143,east london,-33.0153,27.9116,21.5,49,0,3.6,ZA,1684949700
144,fordingbridge,50.9275,-1.7903,20.539999999999964,44,0,3.6,GB,1684949700
145,kiruna,67.8557,20.2251,7.490000000000009,66,0,8.23,SE,1684949700
146,constantia,44.1833,28.65,20.370000000000005,80,6,2.13,RO,1684949700
147,paysandu,-32.3214,-58.0756,26.70999999999998,56,100,6.06,UY,1684949700
148,tolanaro,-25.0319,46.9987,19.019999999999982,88,75,1.03,MG,1684949700
149,atafu village,-8.5421,-172.5159,27.430000000000007,74,97,1.6,TK,1684949700
150,new norfolk,-42.7826,147.0587,16.599999999999966,57,100,2.24,AU,1684949701
151,paulista florida,-21.6,-51.2,26.66999999999996,41,0,3.66,BR,1684949701
152,kattivakkam,13.2167,80.3167,32.02999999999997,86,35,4.35,IN,1684949701
153,aasiaat,68.7098,-52.8699,-0.5,68,83,6.05,GL,1684949701
154,villa gesell,-37.2639,-56.973,20.00999999999999,98,100,2.22,AR,1684949701
155,medicine hat,50.0501,-110.6683,16.529999999999973,63,100,2.06,CA,1684949493
156,puerto lempira,15.2667,-83.7667,31.060000000000002,66,20,5.14,HN,1684949702
157,touros,-5.1989,-35.4608,28.649999999999977,63,71,5.33,BR,1684949702
158,juegang,32.3174,121.1855,16.039999999999964,65,91,4.22,CN,1684949702
159,kidal,18.4411,1.4078,40.64999999999998,11,49,4.48,ML,1684949702
160,misratah,32.3754,15.0925,20.25,76,0,9.18,LY,1684949703
161,kapuskasing,49.4169,-82.4331,7.029999999999973,45,0,4.12,CA,1684949703
162,ingeniero jacobacci,-41.3427,-69.5448,6.939999999999998,42,14,14.5,AR,1684949703
